Title,Genre,Score,Release Date,Budget,Revenue,Duration
Gabriel's Inferno,['Romance'],85.0,29/05/2020,-,-,2.03
Grave of the Fireflies,['Animation'],85.0,16/04/1988,"3,700,000.00","516,962.00",1.48
Bring the Soul: The Movie,['Music'],84.0,07/08/2019,-,-,1.75
Impossible Things,['Family'],84.0,17/06/2021,-,-,1.47
Psycho,['Horror'],84.0,22/06/1960,"806,947.00",-,1.82
Fight Club,['Drama'],84.0,24/02/2000,"63,000,000.00","100,853,753.00",2.32
Once Upon a Time in America,['Drama'],84.0,28/09/1984,"30,000,000.00","5,500,000.00",3.82
City of God,['Drama'],84.0,20/03/2003,"3,300,000.00","30,641,770.00",2.17
Gabriel's Inferno: Part II,['Romance'],84.0,31/07/2020,-,-,1.75
Dou kyu sei – Classmates,['Romance'],84.0,20/02/2016,-,-,1.02
One Flew Over the Cuckoo's Nest,['Drama'],84.0,19/11/1975,"3,000,000.00","108,981,275.00",2.22
Harakiri,['Action'],84.0,15/09/1962,-,-,2.25
The Quintessential Quintuplets Movie,['Animation'],84.0,20/05/2022,-,"17,288,993.00",2.27
Interstellar,['Adventure'],84.0,06/11/2014,"165,000,000.00","701,729,206.00",2.82
Gabriel's Inferno: Part III,['Romance'],84.0,19/11/2020,-,-,1.75
Spider-Man: Into the Spider-Verse,['Action'],84.0,13/12/2018,"90,000,000.00","375,464,627.00",1.95
A Dog's Will,['Comedy'],84.0,15/09/2000,-,"4,903,192.00",1.73
A Silent Voice: The Movie,['Animation'],84.0,17/09/2016,-,"30,156,463.00",2.17
The Lord of the Rings: The Fellowship of the Ring,['Adventure'],84.0,17/01/2002,"93,000,000.00","871,368,364.00",2.98
Howl's Moving Castle,['Fantasy'],84.0,19/11/2004,"24,000,000.00","236,049,757.00",1.98
The Empire Strikes Back,['Adventure'],84.0,21/05/1980,"18,000,000.00","538,400,000.00",2.07
Hope,['Drama'],84.0,02/10/2013,-,-,2.03
Burn the Stage: The Movie,['Music'],84.0,15/11/2018,-,-,1.42
The Lord of the Rings: The Two Towers,['Adventure'],84.0,18/12/2002,"79,000,000.00","926,287,400.00",2.98
The Pianist,['Drama'],84.0,25/12/2002,"35,000,000.00","120,072,577.00",2.5
Whiplash,['Drama'],84.0,10/10/2014,"3,300,000.00","13,092,000.00",1.78
Hotarubi no Mori e,['Romance'],84.0,17/09/2011,-,-,0.75
Se7en,['Crime'],84.0,07/02/1996,"33,000,000.00","327,311,859.00",2.12
Inception,['Action'],84.0,22/07/2010,"160,000,000.00","825,532,764.00",2.47
"The Boy, the Mole, the Fox and the Horse",['Animation'],84.0,02/12/2022,-,-,0.57
Rear Window,['Thriller'],84.0,01/09/1954,"1,000,000.00","37,034,514.00",1.87
Neon Genesis Evangelion: The End of Evangelion,['Animation'],84.0,19/07/1997,-,"20,000,000.00",1.45
Sunset Boulevard,['Drama'],84.0,10/08/1950,"1,752,000.00","5,000,000.00",1.83
American History X,['Drama'],84.0,30/10/1998,"20,000,000.00","23,875,127.00",1.98
One Direction: This Is Us,['Documentary'],83.0,30/08/2013,"10,000,000.00","68,500,000.00",1.53
High and Low,['Crime'],83.0,01/03/1963,"250,000.00",-,2.37
The Silence of the Lambs,['Crime'],83.0,14/02/1991,"19,000,000.00","272,742,922.00",1.98
Princess Mononoke,['Adventure'],83.0,12/07/1997,"23,500,000.00","169,000,000.00",2.23
"Red, White & Royal Blue",['Comedy'],83.0,10/08/2023,-,-,2.02
"Josee, the Tiger and the Fish",['Animation'],83.0,25/12/2020,-,-,1.63
The Godfather,['Drama'],87.0,14/03/1972,"6,000,000.00","245,066,411.00",2.92
The Shawshank Redemption,['Drama'],87.0,23/09/1994,"25,000,000.00","28,341,469.00",2.37
The Godfather Part II,['Drama'],86.0,20/12/1974,"13,000,000.00","102,600,000.00",3.37
Schindler's List,['Drama'],86.0,17/03/1994,"22,000,000.00","321,365,567.00",3.25
Dilwale Dulhania Le Jayenge,['Comedy'],86.0,20/10/1995,"13,200,000.00","100,000,000.00",3.17
Spirited Away,['Animation'],85.0,13/02/2003,"19,000,000.00","274,925,095.00",2.08
12 Angry Men,['Drama'],85.0,10/04/1957,"350,000.00","1,000,000.00",1.62
Your Name.,['Romance'],85.0,26/08/2016,-,"357,986,087.00",1.77
Parasite,['Comedy'],85.0,30/05/2019,"11,363,000.00","257,591,776.00",2.22
The Dark Knight,['Drama'],85.0,24/07/2008,"185,000,000.00","1,004,558,444.00",2.53
The Green Mile,['Fantasy'],85.0,31/05/2001,"60,000,000.00","286,801,374.00",3.15
Pulp Fiction,['Thriller'],85.0,03/11/1994,"8,500,000.00","213,900,000.00",2.57
Forrest Gump,['Comedy'],85.0,03/11/1994,"55,000,000.00","677,387,716.00",2.37
The Lord of the Rings: The Return of the King,['Adventure'],85.0,08/01/2004,"94,000,000.00","1,118,888,979.00",3.35
"The Good, the Bad and the Ugly",['Western'],85.0,23/12/1966,"1,200,000.00","38,900,000.00",2.68
GoodFellas,['Drama'],85.0,19/09/1990,"25,000,000.00","46,835,000.00",2.42
Spider-Man: Across the Spider-Verse,['Animation'],85.0,01/06/2023,"100,000,000.00","683,241,751.00",2.33
Cinema Paradiso,['Drama'],85.0,12/11/2016,"5,000,000.00","11,990,401.00",2.07
Life Is Beautiful,['Comedy'],85.0,20/12/1997,"20,000,000.00","230,098,753.00",1.93
Seven Samurai,['Action'],85.0,26/04/1954,"2,000,000.00","346,300.00",3.45
Violet Evergarden: The Movie,['Animation'],83.0,18/09/2020,-,"20,339,624.00",2.33
Ikiru,['Drama'],83.0,09/10/1952,-,"55,240.00",2.38
The Great Dictator,['Comedy'],83.0,23/10/1940,"2,000,000.00","11,000,000.00",2.08
Dedicated to my ex,['Drama'],83.0,08/11/2019,-,"1,315,376.00",1.57
Léon: The Professional,['Crime'],83.0,14/09/1994,"16,000,000.00","45,284,974.00",1.85
Dead Poets Society,['Drama'],83.0,02/06/1989,"16,400,000.00","235,860,116.00",2.13
Back to the Future,['Adventure'],83.0,03/07/1985,"19,000,000.00","381,109,762.00",1.93
20th Century Girl,['Romance'],83.0,06/10/2022,119.00,-,1.98
City Lights,['Comedy'],83.0,07/03/1931,"1,500,000.00","4,250,000.00",1.45
Come and See,['Drama'],83.0,09/07/1985,-,"168,817.00",2.37
Clouds,['Music'],83.0,09/10/2020,-,-,2.02
Life in a Year,['Drama'],83.0,27/11/2020,-,-,1.78
Le Trou,['Crime'],83.0,18/03/1960,-,"33,187.00",2.2
Woman in the Dunes,['Drama'],83.0,15/02/1964,-,-,2.45
Once Upon a Time in the West,['Drama'],83.0,21/12/1968,"5,000,000.00","5,380,118.00",2.77
The Shop Around the Corner,['Comedy'],83.0,12/01/1940,-,-,1.65
Modern Times,['Comedy'],83.0,29/05/1936,"1,500,000.00","1,800,000.00",1.45
Five Feet Apart,['Romance'],83.0,15/03/2019,"7,000,000.00","92,600,000.00",1.93
Evangelion: 3.0+1.0 Thrice Upon a Time,['Animation'],83.0,08/03/2021,-,"92,300,000.00",2.58
Perfect Blue,['Animation'],83.0,28/02/1998,"830,000.00","112,536.00",1.35
I Want to Eat Your Pancreas,['Animation'],83.0,01/09/2018,-,"33,748,006.00",1.8
Wolfwalkers,['Animation'],83.0,20/10/2021,"12,000,000.00","1,266,570.00",1.72
We All Loved Each Other So Much,['Drama'],83.0,21/12/1974,-,-,2.07
The Handmaiden,['Thriller'],82.0,01/06/2016,"8,575,000.00","38,600,000.00",2.42
Green Book,['Drama'],82.0,31/01/2019,"23,000,000.00","319,700,000.00",2.17
Night and Fog,['Documentary'],82.0,29/04/1956,-,-,0.53
Il Sorpasso,['Drama'],82.0,05/12/1962,-,-,1.75
BLACKPINK: Light Up the Sky,['Documentary'],82.0,14/10/2020,-,-,1.32
Persona,['Drama'],82.0,18/10/1966,-,-,1.38
Baraka,['Documentary'],82.0,19/11/1993,"4,000,000.00",-,1.62
Wolf Children,['Animation'],82.0,21/07/2012,-,"55,060,661.00",1.95
Rascal Does Not Dream of a Dreaming Girl,['Animation'],82.0,15/06/2019,-,-,1.5
Coco,['Family'],82.0,22/11/2017,"175,000,000.00","800,526,015.00",1.75
The Shining,['Horror'],82.0,31/10/2017,"19,000,000.00","44,781,695.00",2.4
The Apartment,['Comedy'],82.0,21/06/1960,"3,000,000.00","25,000,000.00",2.08
Bicycle Thieves,['Drama'],82.0,24/11/1948,"133,000.00","436,655.00",1.48
Witness for the Prosecution,['Drama'],82.0,17/12/1957,"3,000,000.00","9,000,000.00",1.93
The Art of Racing in the Rain,['Drama'],82.0,09/08/2019,"18,000,000.00","33,766,787.00",1.82
Inglourious Basterds,['Drama'],82.0,21/08/2009,"70,000,000.00","321,457,747.00",2.55
Hamilton,['History'],82.0,03/07/2020,-,-,2.67
Apocalypse Now,['Drama'],83.0,15/08/1979,"31,500,000.00","150,000,000.00",2.45
BTS World Tour: Love Yourself in Seoul,['Music'],83.0,26/01/2019,-,-,1.88
The Intouchables,['Drama'],83.0,02/11/2011,"13,000,000.00","426,588,510.00",1.88
Paths of Glory,['Drama'],83.0,20/12/1957,"935,000.00",-,1.47
Miracle in Cell No. 7,['Drama'],83.0,11/10/2019,-,"19,289,062.00",2.2
Puss in Boots: The Last Wish,['Animation'],83.0,08/12/2022,"90,000,000.00","482,129,780.00",1.72
The Legend of 1900,['Drama'],83.0,28/10/1998,"9,000,000.00","21,057,208.00",2.83
Top Gun: Maverick,['Action'],83.0,27/05/2022,"170,000,000.00","1,488,732,821.00",2.18
Oppenheimer,['Drama'],83.0,21/07/2023,"100,000,000.00","671,426,709.00",3.02
Avengers: Endgame,['Adventure'],83.0,26/04/2019,"356,000,000.00","2,794,731,755.00",3.02
It's a Wonderful Life,['Drama'],83.0,07/01/1947,"3,180,000.00","9,644,124.00",2.17
Mommy,['Drama'],83.0,19/09/2014,"4,900,000.00","3,494,070.00",2.3
Steven Universe: The Movie,['TV Movie'],83.0,02/09/2019,-,-,1.37
Justice League Dark: Apokolips War,['Animation'],83.0,05/05/2020,-,-,1.5
Avengers: Infinity War,['Adventure'],83.0,25/04/2018,"300,000,000.00","2,052,415,039.00",2.48
The Lion King,['Family'],83.0,04/12/1994,"45,000,000.00","763,455,561.00",1.48
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,['Action'],83.0,16/10/2020,"15,800,000.00","503,063,688.00",1.95
Klaus,['Animation'],83.0,08/11/2019,-,-,1.6
A Clockwork Orange,['Science Fiction'],82.0,19/12/1971,"2,200,000.00","26,589,000.00",2.28
Better Days,['Drama'],82.0,25/10/2019,-,"225,879,065.00",2.25
Maquia: When the Promised Flower Blooms,['Animation'],82.0,24/02/2018,-,"4,300,000.00",1.92
Saving Private Ryan,['Drama'],82.0,12/11/1998,"70,000,000.00","481,840,909.00",2.82
The Seventh Seal,['Fantasy'],82.0,16/02/1957,-,-,1.6
Gladiator,['Action'],82.0,05/05/2000,"103,000,000.00","465,361,176.00",2.58
The Matrix,['Action'],82.0,19/08/1999,"63,000,000.00","463,517,383.00",2.27
Violet Evergarden: Eternity and the Auto Memory Doll,['Drama'],82.0,06/09/2019,-,"10,841,702.00",1.52
Tokyo Story,['Drama'],82.0,03/11/1953,-,-,2.28
Star Wars,['Adventure'],82.0,27/03/1997,"11,000,000.00","775,398,007.00",2.02
The Prestige,['Drama'],82.0,10/11/2006,"40,000,000.00","109,676,311.00",2.17
The Help,['Drama'],82.0,08/12/2011,"25,000,000.00","216,639,112.00",2.43
Shutter Island,['Drama'],82.0,19/02/2010,"80,000,000.00","294,800,000.00",2.3
Zack Snyder's Justice League,['Action'],82.0,18/03/2021,"70,000,000.00",-,4.03
Hacksaw Ridge,['Drama'],82.0,10/11/2016,"40,000,000.00","175,302,354.00",2.32
The Usual Suspects,['Drama'],82.0,16/08/1995,"6,000,000.00","23,341,568.00",1.77
The Kid,['Comedy'],82.0,21/01/1921,"250,000.00","2,500,000.00",1.13
My Hero Academia: Heroes Rising,['Animation'],82.0,20/12/2019,-,"29,900,850.00",1.73
Memento,['Mystery'],82.0,16/03/2001,"9,000,000.00","39,723,096.00",1.88
Stalker,['Science Fiction'],82.0,25/05/1979,"120,000.00",-,2.7
Out of the Clear Blue Sky,['Comedy'],82.0,24/12/2019,-,-,1.87
Sansho the Bailiff,['Drama'],82.0,31/03/1954,-,-,2.07
Investigation of a Citizen Above Suspicion,['Drama'],82.0,12/02/1970,-,-,1.85
Vertigo,['Mystery'],82.0,28/05/1958,"2,479,000.00","7,797,728.00",2.13
8½,['Fantasy'],82.0,14/02/1963,-,-,2.32
Along with the Gods: The Last 49 Days,['Fantasy'],82.0,01/08/2018,"18,300,000.00","112,790,210.00",2.35
Guillermo del Toro's Pinocchio,['Animation'],82.0,18/11/2022,"35,000,000.00",-,1.95
Capernaum,['Drama'],82.0,08/11/2018,"4,000,000.00","64,978,931.00",2.1
Bo Burnham: Inside,['Comedy'],82.0,22/07/2021,-,-,1.45
"Miraculous World: New York, United HeroeZ",['Animation'],82.0,26/09/2020,-,-,1.03
Doctor Who: The Day of the Doctor,['Science Fiction'],82.0,23/11/2013,-,"10,000,000.00",1.28
Togo,['Adventure'],82.0,20/12/2019,-,-,1.88
Jujutsu Kaisen 0,['Animation'],82.0,24/12/2021,-,"195,870,885.00",1.75
Django Unchained,['Drama'],82.0,17/01/2013,"100,000,000.00","425,368,238.00",2.75
Casablanca,['Drama'],82.0,26/11/1942,"878,000.00","10,462,500.00",1.7
Joker,['Crime'],82.0,04/10/2019,"55,000,000.00","1,074,458,282.00",2.03
Piper,['Family'],82.0,17/06/2016,-,-,0.1
Call Me by Your Name,['Romance'],82.0,28/02/2018,"4,000,000.00","43,143,046.00",2.2
The Departed,['Drama'],82.0,05/10/2006,"90,000,000.00","291,465,000.00",2.52
The Hate U Give,['Crime'],82.0,19/10/2018,"23,000,000.00","34,934,009.00",2.22
Singin' in the Rain,['Comedy'],82.0,09/04/1952,"2,540,800.00","7,200,000.00",1.72
Scarface,['Action'],82.0,09/12/1983,"25,000,000.00","66,023,329.00",2.82
Purple Hearts,['Romance'],82.0,29/07/2022,-,-,2.03
My Mom is a Character 3,['Comedy'],82.0,26/12/2019,"2,000,000.00","39,273,021.00",1.85
Children of Paradise,['Drama'],82.0,15/03/1945,-,"1,457.00",3.18
The Father,['Drama'],82.0,11/06/2021,"6,000,000.00","21,029,340.00",1.6
Mortal Kombat Legends: Scorpion's Revenge,['Animation'],82.0,12/04/2020,-,-,1.33
Taxi Driver,['Crime'],82.0,09/02/1976,"1,900,000.00","28,600,000.00",1.9
Sound of Freedom,['Action'],82.0,04/07/2023,"14,000,000.00","173,440,252.00",2.18
Wonder,['Drama'],82.0,17/11/2017,"20,000,000.00","305,937,718.00",1.88
Flamin' Hot,['Comedy'],81.0,11/03/2023,-,-,1.65
Metropolis,['Drama'],82.0,25/08/1927,"1,300,000.00","650,422.00",2.48
My Fault,['Romance'],82.0,08/06/2023,-,-,1.95
Soul,['Animation'],82.0,25/12/2020,"150,000,000.00","136,384,442.00",1.68
Michael Jackson's Thriller,['Horror'],82.0,14/11/1983,"1,100,000.00",-,0.22
Believe Me: The Abduction of Lisa McVey,['Drama'],82.0,30/09/2018,-,-,1.63
My Friends,['Comedy'],81.0,24/10/1975,-,-,2.33
Good Will Hunting,['Drama'],81.0,05/12/1997,"10,000,000.00","225,933,435.00",2.12
Homecoming: A Film by Beyoncé,['Documentary'],81.0,17/04/2019,-,-,2.28
The Invisible Guest,['Drama'],81.0,13/09/2019,"4,000,000.00","30,000,000.00",1.78
Bound by Honor,['Crime'],81.0,05/02/1993,"35,000,000.00","4,496,583.00",3.17
In the Mood for Love,['Drama'],81.0,29/09/2000,"150,000.00","14,204,632.00",1.65
Some Like It Hot,['Comedy'],81.0,19/03/1959,"2,883,848.00","25,000,000.00",2.03
Big Deal on Madonna Street,['Comedy'],81.0,26/07/1958,-,-,1.77
Harry Potter and the Deathly Hallows: Part 2,['Fantasy'],81.0,07/07/2011,"125,000,000.00","1,341,511,219.00",2.17
Andrei Rublev,['Drama'],81.0,16/12/1966,-,-,3.42
Along with the Gods: The Two Worlds,['Action'],81.0,20/12/2017,"18,300,000.00","125,983,972.00",2.32
Senna,['Documentary'],81.0,02/06/2011,-,"8,212,430.00",1.77
The Tale of The Princess Kaguya,['Animation'],81.0,23/11/2013,"49,300,000.00","24,366,656.00",2.28
The Hunt,['Drama'],81.0,24/01/2013,"3,800,000.00","18,309,793.00",1.93
Incendies,['Drama'],81.0,17/09/2010,"6,800,000.00","6,788,659.00",2.18
Terminator 2: Judgment Day,['Action'],81.0,03/07/1991,"102,000,000.00","520,000,000.00",2.28
Ayla: The Daughter of War,['Drama'],81.0,21/06/2018,"4,172,781.00",-,2.08
M,['Drama'],81.0,11/05/1931,-,-,1.82
Eternal Sunshine of the Spotless Mind,['Science Fiction'],81.0,19/03/2004,"20,000,000.00","72,258,126.00",1.8
Prayers for Bobby,['Drama'],81.0,27/02/2009,-,-,1.5
Dear Zachary: A Letter to a Son About His Father,['Documentary'],81.0,31/10/2008,-,-,1.58
The Salt of the Earth,['Documentary'],81.0,27/09/2014,-,"1,059,804.00",1.83
KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,['Animation'],81.0,30/08/2019,-,-,1.5
Central Station,['Drama'],81.0,20/11/1998,"2,900,000.00","5,596,708.00",1.83
Alien,['Horror'],81.0,06/09/1979,"11,000,000.00","104,931,801.00",1.95
La Dolce Vita,['Comedy'],81.0,05/02/1960,-,"19,647,000.00",2.93
Silenced,['Drama'],81.0,22/09/2011,"2,200,000.00","31,500,000.00",2.08
The Great War,['Drama'],81.0,28/10/1959,-,-,2.17
Full Metal Jacket,['Drama'],81.0,26/06/1987,"30,000,000.00","46,357,676.00",1.95
Double Indemnity,['Crime'],81.0,14/06/1944,"927,262.00","2,500,000.00",1.78
Wild Strawberries,['Drama'],81.0,26/12/1957,-,-,1.52
Me Against You: Mr. S's Vendetta,['Family'],81.0,17/01/2020,"75,000.00","9,500,000.00",1.07
All About Eve,['Drama'],81.0,06/10/1950,"1,400,000.00","8,400,000.00",2.32
Reservoir Dogs,['Crime'],81.0,23/10/1992,"1,200,000.00","2,859,750.00",1.65
Yojimbo,['Drama'],81.0,25/04/1961,-,-,1.83
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,['Drama'],81.0,29/01/1964,"1,800,000.00","9,523,464.00",1.58
The Truman Show,['Comedy'],81.0,05/06/1998,"60,000,000.00","264,118,201.00",1.72
"Lock, Stock and Two Smoking Barrels",['Comedy'],81.0,03/06/1999,"1,350,000.00","28,356,188.00",1.75
Palmer,['Drama'],81.0,29/01/2021,-,-,1.83
"ariana grande: excuse me, i love you",['Music'],81.0,21/12/2020,-,-,1.62
Rashomon,['Crime'],81.0,26/08/1950,"250,000.00","96,568.00",1.47
Sherlock Jr.,['Action'],81.0,17/04/1924,-,-,0.75
"Paris, Texas",['Drama'],81.0,19/05/1984,"1,746,964.00","2,181,987.00",2.42
Prisoners,['Drama'],81.0,19/09/2013,"46,000,000.00","122,126,687.00",2.55
There Will Be Blood,['Drama'],81.0,26/12/2007,"25,000,000.00","77,208,711.00",2.63
La Haine,['Drama'],81.0,31/05/1995,"2,600,000.00","15,300,000.00",1.63
Das Boot,['Drama'],81.0,17/09/1981,"14,000,000.00","85,000,000.00",2.5
"Three Billboards Outside Ebbing, Missouri",['Crime'],81.0,01/12/2017,"15,000,000.00","160,192,031.00",1.92
Far from the Tree,['Animation'],81.0,24/11/2021,-,-,0.12
Lion,['Drama'],81.0,19/01/2017,"12,000,000.00","140,312,928.00",1.97
Pride & Prejudice,['Drama'],81.0,11/11/2005,"28,000,000.00","121,616,555.00",2.12
2001: A Space Odyssey,['Science Fiction'],81.0,10/04/1968,"12,000,000.00","71,923,560.00",2.48
Rocco and His Brothers,['Crime'],81.0,10/03/1961,-,-,2.97
WALL·E,['Animation'],81.0,28/08/2008,"180,000,000.00","521,311,860.00",1.63
Ran,['Action'],81.0,01/06/1985,"11,500,005.00","11,859,533.00",2.67
How to Train Your Dragon: Homecoming,['Animation'],81.0,03/12/2019,-,-,0.37
My Neighbor Totoro,['Fantasy'],81.0,16/04/1988,"3,700,000.00","41,000,000.00",1.43
A Special Day,['Drama'],81.0,11/08/1977,-,-,1.77
The 400 Blows,['Drama'],81.0,03/06/1959,-,-,1.65
A Taxi Driver,['Action'],81.0,02/08/2017,"12,820,005.00","81,927,980.00",2.3
"Love, Simon",['Comedy'],80.0,16/03/2018,"17,000,000.00","66,316,289.00",1.83
Dersu Uzala,['Action'],80.0,20/12/1977,"4,000,000.00",-,2.35
Gifted,['Drama'],80.0,12/04/2017,"7,000,000.00","40,343,446.00",1.68
The Passion of Joan of Arc,['Drama'],80.0,25/10/1928,-,-,1.37
The Second Mother,['Drama'],80.0,27/08/2015,-,-,1.87
The Thing,['Horror'],80.0,25/06/1982,"15,000,000.00","19,629,760.00",1.82
The Lives of Others,['Drama'],80.0,15/03/2006,"2,000,000.00","70,000,000.00",2.28
Judgment at Nuremberg,['Drama'],80.0,19/12/1961,"3,000,000.00","10,000,000.00",2.98
A Dog's Journey,['Family'],80.0,30/05/2019,"16,000,000.00","78,871,079.00",1.82
Amadeus,['History'],80.0,19/09/1984,"18,000,000.00","51,973,029.00",2.68
Room,['Drama'],80.0,15/01/2016,"13,000,000.00","35,401,758.00",1.97
Won't You Be My Neighbor?,['Documentary'],80.0,29/06/2018,-,"22,835,787.00",1.58
Requiem for a Dream,['Crime'],80.0,06/10/2000,"4,500,000.00","7,390,108.00",1.7
Loving Vincent,['Animation'],80.0,13/10/2017,"5,500,000.00","42,187,665.00",1.58
Pather Panchali,['Drama'],80.0,26/08/1955,-,"536,364.00",2.08
Nobody,['Action'],80.0,26/03/2021,"17,000,000.00","61,779,301.00",1.53
Nights of Cabiria,['Drama'],80.0,03/10/1957,-,"752,045.00",1.83
Dial M for Murder,['Crime'],80.0,29/05/1954,"1,400,000.00","3,000,000.00",1.75
Late Spring,['Drama'],80.0,13/09/1949,-,-,1.83
"Rome, Open City",['Drama'],80.0,08/10/1945,"20,000.00","1,000,000.00",1.72
The Wages of Fear,['Drama'],80.0,22/04/1953,-,-,2.47
American Beauty,['Drama'],80.0,15/09/1999,"15,000,000.00","356,296,601.00",2.03
The Sting,['Comedy'],80.0,25/12/1973,"5,500,000.00","159,616,327.00",2.15
The Gold Rush,['Adventure'],80.0,15/08/1925,"923,000.00","4,000,000.00",1.58
For a Few Dollars More,['Western'],80.0,18/12/1965,"600,000.00","15,000,000.00",2.2
Harry Potter and the Prisoner of Azkaban,['Adventure'],80.0,17/06/2004,"130,000,000.00","789,804,554.00",2.35
Weathering with You,['Animation'],80.0,19/07/2019,-,"186,965,409.00",1.87
Autumn Sonata,['Drama'],80.0,19/10/1978,-,-,1.55
In This Corner of the World,['Drama'],80.0,12/11/2016,-,"19,496,308.00",2.17
Citizen Kane,['Mystery'],80.0,06/05/1941,"839,727.00","23,218,000.00",1.98
Kitbull,['Animation'],80.0,18/01/2019,-,-,0.15
Bingo: The King of the Mornings,['Comedy'],80.0,24/08/2017,-,-,1.88
Casino,['Crime'],80.0,22/11/1995,"50,000,000.00","116,112,375.00",2.98
Song of the Sea,['Family'],80.0,19/02/2015,-,"857,522.00",1.55
Chungking Express,['Drama'],80.0,14/07/1994,"160,000.00",-,1.72
Ford v Ferrari,['Drama'],80.0,15/11/2019,"97,600,000.00","225,508,210.00",2.55
The Imitation Game,['History'],80.0,19/12/2014,"14,000,000.00","233,555,708.00",1.88
In a Heartbeat,['Family'],80.0,01/06/2017,-,-,0.07
Hachi: A Dog's Tale,['Drama'],80.0,08/06/2009,"16,000,000.00","46,749,646.00",1.55
The Best of Youth,['Drama'],81.0,22/06/2003,-,"2,693,053.00",6.1
Memories of Murder,['Crime'],81.0,02/05/2003,"2,800,000.00","26,000,000.00",2.18
El mesero,['Comedy'],81.0,15/07/2021,-,-,1.43
New Gods: Nezha Reborn,['Animation'],81.0,06/02/2021,-,-,1.93
Cruella,['Comedy'],81.0,28/05/2021,"200,000,000.00","233,503,234.00",2.23
Paper Lives,['Drama'],81.0,12/03/2021,-,-,1.6
"Veinteañera, Divorciada y Fantástica",['Comedy'],81.0,14/02/2020,-,-,1.55
