Title,Genre,Score,Release Date,Budget,Revenue,Duration
Hidden Figures,['Drama'],81.0,10/12/2016,"25,000,000.00","235,956,898.00",2.12
The Young and the Damned,['Crime'],81.0,09/12/1950,-,-,1.28
Paris Is Burning,['Documentary'],81.0,06/04/1990,"500,000.00","3,779,620.00",1.18
Elite Squad,['Drama'],81.0,12/10/2007,"4,000,000.00","14,759,148.00",1.92
Samsara,['Documentary'],81.0,28/08/2013,"4,000,000.00",-,1.7
The Elephant Man,['Drama'],81.0,10/10/1980,"5,000,000.00","26,010,864.00",2.07
On My Skin,['Drama'],81.0,29/08/2018,-,-,1.67
The Grand Budapest Hotel,['Comedy'],81.0,07/03/2014,"30,000,000.00","174,600,318.00",1.67
My Name Is Khan,['Drama'],81.0,10/02/2010,"12,000,000.00","42,345,360.00",2.75
Guardians of the Galaxy Vol. 3,['Science Fiction'],80.0,05/05/2023,"250,000,000.00","845,430,302.00",2.5
"Toto, Peppino, and the Hussy",['Comedy'],80.0,23/08/1956,-,-,1.68
Jojo Rabbit,['Comedy'],80.0,24/10/2019,"14,000,000.00","82,468,705.00",1.8
Black Beauty,['Drama'],80.0,27/11/2020,-,-,1.83
The Circus,['Comedy'],80.0,06/01/1928,"9,000,000.00",-,1.2
Barry Lyndon,['Drama'],80.0,18/12/1975,"11,000,000.00","198,992.00",3.08
The Boy and the Beast,['Action'],80.0,11/07/2015,-,"49,714,378.00",1.98
To Kill a Mockingbird,['Drama'],80.0,25/12/1962,"2,000,000.00","13,129,846.00",2.15
No Manches Frida 2,['Comedy'],80.0,15/03/2019,-,-,1.7
The Deer Hunter,['Drama'],80.0,08/12/1978,"15,000,000.00","49,000,000.00",3.05
Mirror,['Drama'],80.0,07/03/1975,"825,370.00","119,266.00",1.78
Paperman,['Animation'],80.0,02/11/2012,-,-,0.12
Bohemian Rhapsody,['Music'],80.0,24/10/2018,"52,000,000.00","903,992,901.00",2.25
Gran Torino,['Drama'],80.0,09/04/2009,"33,000,000.00","269,958,228.00",1.93
Spider-Man: No Way Home,['Action'],80.0,17/12/2021,"200,000,000.00","1,921,847,111.00",2.47
3 Idiots,['Drama'],80.0,25/12/2009,"9,000,000.00","70,000,000.00",2.83
Ugetsu,['Fantasy'],80.0,26/03/1953,-,-,1.6
North by Northwest,['Mystery'],80.0,06/08/1959,"4,000,000.00","13,275,000.00",2.27
The Secret in Their Eyes,['Crime'],80.0,07/06/2011,"2,000,000.00","33,965,843.00",2.17
Castaway on the Moon,['Drama'],80.0,14/05/2009,-,-,1.98
The Treasure of the Sierra Madre,['Adventure'],80.0,15/01/1948,"3,800,000.00","4,307,000.00",2.1
Nobody Knows,['Drama'],80.0,07/08/2004,-,-,2.35
1917,['War'],80.0,25/12/2019,"100,000,000.00","394,638,258.00",1.98
The Red Shoes,['Drama'],80.0,06/09/1948,"500,000.00",-,2.22
Catch Me If You Can,['Drama'],80.0,30/01/2003,"52,000,000.00","352,114,312.00",2.35
Wish Dragon,['Animation'],80.0,11/06/2021,-,"25,860,000.00",1.65
Kill Bill: The Whole Bloody Affair,['Action'],80.0,27/03/2011,"55,000,000.00",-,4.12
Trainspotting,['Drama'],80.0,23/02/1996,"4,000,000.00","16,491,080.00",1.57
Nimona,['Animation'],80.0,23/06/2023,-,-,1.68
The Exterminating Angel,['Comedy'],80.0,22/09/1966,-,-,1.57
Rope,['Crime'],80.0,25/09/1948,"1,500,000.00","2,200,000.00",1.35
Three Men and a Leg,['Comedy'],80.0,27/12/1997,-,-,1.63
When Marnie Was There,['Animation'],80.0,19/07/2014,-,"34,949,567.00",1.72
Sanjuro,['Drama'],80.0,01/01/1962,-,-,1.6
Avicii: True Stories,['Music'],80.0,26/10/2017,-,-,1.62
Where Hands Touch,['War'],80.0,10/05/2019,-,"128,269.00",2.03
The Cranes Are Flying,['Drama'],80.0,12/10/1957,-,-,1.62
Castle in the Sky,['Adventure'],80.0,02/08/1986,"3,000,000.00","5,228,752.00",2.08
Raging Bull,['Drama'],80.0,14/11/1980,"18,000,000.00","23,000,000.00",2.15
A Man Escaped,['Thriller'],80.0,11/11/1956,-,-,1.68
Million Dollar Baby,['Drama'],80.0,15/12/2004,"30,000,000.00","216,763,646.00",2.2
La Notte,['Drama'],80.0,24/01/1961,-,-,2.03
The Third Man,['Thriller'],80.0,02/02/1950,-,"1,226,098.00",1.73
Raise the Red Lantern,['Drama'],80.0,18/12/1991,-,-,2.08
"Argentina, 1985",['Drama'],80.0,29/09/2022,-,"871,621.00",2.35
Flipped,['Romance'],80.0,06/08/2010,"14,000,000.00","1,755,212.00",1.48
Love Exposure,['Action'],80.0,31/01/2009,-,-,3.95
Pink Floyd: The Wall,['Music'],80.0,14/07/1982,"12,000,000.00","22,244,207.00",1.58
Like Stars on Earth,['Drama'],80.0,21/12/2007,"2,600,000.00","28,430,000.00",2.75
In the Arms of an Assassin,['Romance'],80.0,06/12/2019,-,"425,332.00",1.68
Tae Guk Gi: The Brotherhood of War,['Action'],80.0,05/02/2004,"1,500,000.00",-,2.47
The General,['Comedy'],80.0,25/12/1926,"750,000.00","1,000,000.00",1.32
Lawrence of Arabia,['Adventure'],80.0,11/12/1962,"15,000,000.00","69,995,385.00",3.8
The Whale,['Drama'],80.0,09/12/2022,"3,000,000.00","55,101,305.00",1.93
Forgotten,['Thriller'],80.0,29/11/2017,-,"9,968,972.00",1.8
Army of Shadows,['War'],80.0,11/09/1969,-,"741,766.00",2.42
Before Sunrise,['Drama'],80.0,27/01/1995,"2,500,000.00","5,987,386.00",1.68
CODA,['Drama'],80.0,23/04/2022,"10,000,000.00","1,600,000.00",1.87
The Hidden Fortress,['Adventure'],80.0,28/12/1958,-,-,2.32
Gone with the Wind,['Drama'],80.0,05/09/1954,"4,000,000.00","402,352,579.00",3.97
Ron's Gone Wrong,['Animation'],80.0,22/10/2021,-,"60,692,022.00",1.78
13th,['Documentary'],80.0,07/10/2016,-,-,1.67
Kill Bill: Vol. 1,['Action'],80.0,10/10/2003,"30,000,000.00","180,906,076.00",1.85
Toy Story,['Animation'],80.0,22/11/1995,"30,000,000.00","394,400,000.00",1.35
The Sixth Sense,['Mystery'],79.0,06/08/1999,"40,000,000.00","672,806,292.00",1.78
La Strada,['Drama'],79.0,23/09/1954,-,-,1.92
Bad Genius,['Drama'],79.0,03/05/2017,"1,839,169.00","42,350,000.00",2.17
The Great Escape,['Adventure'],79.0,04/07/1963,"4,000,000.00","11,744,471.00",2.88
My Father's Violin,['Drama'],79.0,21/01/2022,-,-,1.87
The Boy Who Harnessed the Wind,['Drama'],79.0,14/02/2019,-,-,1.88
The Cove,['Documentary'],79.0,22/04/2010,-,"1,162,422.00",1.53
"Batman: The Dark Knight Returns, Part 2",['Science Fiction'],79.0,29/01/2013,"3,500,000.00",-,1.3
Jurassic Park,['Adventure'],79.0,11/06/1993,"63,000,000.00","920,100,000.00",2.12
Whisper of the Heart,['Animation'],79.0,15/07/1995,-,-,1.85
Thirteen Lives,['Drama'],79.0,29/07/2022,"55,000,000.00",-,2.45
No Country for Old Men,['Crime'],79.0,08/11/2007,"25,000,000.00","171,627,166.00",2.03
Dallas Buyers Club,['Drama'],79.0,22/11/2013,"5,000,000.00","55,736,588.00",1.95
Nausicaä of the Valley of the Wind,['Adventure'],79.0,11/03/1984,"1,000,000.00","3,301,446.00",1.95
Koyaanisqatsi,['Documentary'],79.0,27/04/1982,-,"1,723,872.00",1.43
Blade Runner,['Science Fiction'],79.0,22/01/1993,"28,000,000.00","41,722,424.00",1.97
Aliens,['Action'],79.0,29/08/1986,"18,500,000.00","183,316,455.00",2.28
Braveheart,['Action'],79.0,24/05/1995,"72,000,000.00","213,216,216.00",2.97
Charm City Kings,['Drama'],79.0,27/01/2020,-,-,2.08
La Maison en Petits Cubes,['Animation'],79.0,10/08/2008,-,-,0.2
Dangal,['Drama'],80.0,23/12/2016,"10,400,000.00","311,000,000.00",2.68
Children of Heaven,['Drama'],80.0,22/01/1999,"180,000.00","925,402.00",1.48
The Way He Looks,['Drama'],80.0,28/03/2014,"2,700,000.00",-,1.6
The Cabinet of Dr. Caligari,['Drama'],80.0,27/02/1920,"18,000.00","8,811.00",1.3
Suzume,['Animation'],80.0,11/11/2022,-,"321,092,572.00",2.05
Three Colors: Red,['Drama'],80.0,14/09/1994,-,-,1.67
Cries and Whispers,['Drama'],80.0,05/03/1973,"400,000.00",-,1.58
Finch,['Science Fiction'],80.0,04/11/2021,"2,500,000.00",-,1.92
Limelight,['Drama'],80.0,23/10/1952,"900,000.00","1,000,000.00",2.28
"Remi, Nobody's Boy",['Adventure'],79.0,12/12/2018,-,"7,434,840.00",1.82
Miracle in Cell No. 7,['Drama'],79.0,23/01/2013,-,"80,300,000.00",2.12
On the Waterfront,['Crime'],79.0,28/07/1954,"910,000.00","9,600,000.00",1.8
Throne of Blood,['Drama'],80.0,15/01/1957,-,"13,422.00",1.8
A Trip to the Moon,['Adventure'],79.0,17/04/1902,"5,985.00",-,0.25
Akira,['Animation'],79.0,16/07/1988,"10,000,000.00","553,171.00",2.07
12 Years a Slave,['Drama'],79.0,18/10/2013,"20,000,000.00","187,000,000.00",2.23
Up,['Animation'],79.0,29/05/2009,"175,000,000.00","735,099,082.00",1.6
The Mitchells vs. the Machines,['Animation'],79.0,22/04/2021,"75,000,000.00",-,1.83
The Postman,['Comedy'],79.0,22/09/1994,-,-,1.82
Miss Americana,['Documentary'],79.0,31/01/2020,-,-,1.42
Ne Zha,['Animation'],79.0,26/07/2019,"20,000,000.00","742,500,000.00",1.83
Farewell My Concubine,['Drama'],79.0,01/01/1993,-,"5,750,000.00",2.85
Ghost in the Shell,['Action'],79.0,18/11/1995,"3,000,000.00","515,905.00",1.37
Sing 2,['Animation'],79.0,22/12/2021,"85,000,000.00","406,000,000.00",1.83
The Cameraman,['Comedy'],79.0,10/09/1928,-,-,1.23
The Iron Giant,['Family'],79.0,06/08/1999,"70,000,000.00","23,159,305.00",1.43
Raiders of the Lost Ark,['Adventure'],79.0,12/06/1981,"18,000,000.00","389,925,971.00",1.92
A Whisker Away,['Animation'],79.0,18/06/2020,-,-,1.73
What Ever Happened to Baby Jane?,['Drama'],79.0,12/10/1962,"980,000.00",-,2.25
Friends: The Reunion,['Documentary'],79.0,27/05/2021,-,-,1.73
Me Before You,['Drama'],79.0,23/06/2016,"20,000,000.00","207,945,075.00",1.83
Don't Look Now... We're Being Shot At!,['Comedy'],79.0,08/12/1966,-,-,2.2
Inside Out,['Animation'],79.0,19/06/2015,"175,000,000.00","857,611,174.00",1.58
Divorce Italian Style,['Comedy'],79.0,20/12/1961,-,-,1.73
Unforgiven,['Western'],79.0,07/08/1992,"14,400,000.00","159,157,447.00",2.17
Dragon Ball Super: Super Hero,['Animation'],79.0,11/06/2022,-,"86,562,140.00",1.65
Justice League: The Flashpoint Paradox,['Science Fiction'],79.0,30/07/2013,"3,500,000.00",-,1.25
Mulan,['Animation'],79.0,19/06/1998,"90,000,000.00","304,320,254.00",1.47
Chinatown,['Crime'],79.0,20/06/1974,"6,000,000.00","30,000,000.00",2.17
Harry Potter and the Philosopher's Stone,['Adventure'],79.0,06/12/2001,"125,000,000.00","976,475,550.00",2.53
My Octopus Teacher,['Documentary'],79.0,07/09/2020,-,-,1.42
Captain Fantastic,['Adventure'],79.0,08/07/2016,"5,000,000.00","23,123,592.00",1.97
Mamma Roma,['Drama'],79.0,22/09/1962,-,-,1.83
Amarcord,['Comedy'],79.0,18/12/1973,-,-,2.05
Freedom Writers,['Crime'],79.0,04/04/2007,"21,000,000.00","43,095,175.00",2.05
Just Mercy,['Drama'],79.0,25/12/2019,"25,000,000.00","50,401,502.00",2.28
Free Solo,['Documentary'],79.0,28/09/2018,-,"21,790,193.00",1.67
Rebecca,['Mystery'],79.0,23/03/1940,"1,288,000.00","7,592,465.00",2.17
My Hero Academia: Two Heroes,['Animation'],79.0,03/08/2018,"12,000,000.00","31,478,826.00",1.6
The Greatest Showman,['Drama'],79.0,20/12/2017,"84,000,000.00","432,844,677.00",1.75
Persepolis,['Animation'],79.0,27/06/2007,"7,300,000.00",-,1.58
Words on Bathroom Walls,['Drama'],79.0,21/08/2020,-,-,1.85
The Battle of Algiers,['Drama'],79.0,08/09/1966,"800,000.00","964,028.00",2.02
Young Frankenstein,['Comedy'],79.0,15/12/1974,"2,800,000.00","86,273,333.00",1.77
About Time,['Drama'],79.0,19/09/2013,"12,000,000.00","87,100,449.00",2.05
Close to the Horizon,['Drama'],79.0,10/10/2019,-,-,1.95
Guardians of the Galaxy,['Action'],79.0,01/08/2014,"170,000,000.00","772,776,600.00",2.02
Vincent,['Animation'],79.0,01/10/1982,"60,000.00",-,0.12
Amélie,['Comedy'],79.0,25/04/2001,"10,000,000.00","173,921,954.00",2.03
A Street Cat Named Bob,['Family'],79.0,18/11/2016,"8,000,000.00","17,900,000.00",1.72
Emancipation,['Drama'],79.0,02/12/2022,-,-,2.2
Heat,['Action'],79.0,15/12/1995,"60,000,000.00","187,436,818.00",2.83
1900,['Drama'],79.0,03/09/1976,"9,000,000.00",-,5.28
The Pursuit of Happyness,['Drama'],79.0,14/12/2006,"55,000,000.00","307,077,295.00",1.95
Raya and the Last Dragon,['Animation'],79.0,05/03/2021,"100,000,000.00","130,423,032.00",1.78
In the Name of the Father,['Drama'],79.0,27/12/1993,"13,000,000.00","65,796,862.00",2.22
V for Vendetta,['Action'],79.0,20/04/2006,"54,000,000.00","132,511,035.00",2.2
Titanic,['Drama'],79.0,07/01/1998,"200,000,000.00","2,264,162,353.00",3.23
Little Women,['Drama'],79.0,25/12/2019,"40,000,000.00","216,601,214.00",2.25
A Separation,['Drama'],79.0,23/05/2012,"5,000,000.00","24,426,169.00",2.05
Ivan's Childhood,['Drama'],79.0,27/06/1963,-,-,1.58
To Be or Not to Be,['Comedy'],79.0,06/03/1942,"1,200,000.00","1,500,000.00",1.65
La La Land,['Comedy'],79.0,09/12/2016,"30,000,000.00","447,407,695.00",2.15
Gone Girl,['Mystery'],79.0,01/10/2014,"61,000,000.00","369,330,363.00",2.48
Ordet,['Drama'],79.0,09/01/1955,-,-,2.08
Seaspiracy,['Documentary'],79.0,24/03/2021,-,-,1.48
Return of the Jedi,['Adventure'],79.0,25/05/1983,"32,350,000.00","572,700,000.00",2.25
La Jetée,['Romance'],79.0,16/02/1962,-,-,0.47
Dragon Ball Super: Broly,['Action'],79.0,14/12/2018,"1,000,000.00","125,002,821.00",1.65
The Night of the Hunter,['Crime'],79.0,26/08/1955,"795,000.00",-,1.55
Mr. Smith Goes to Washington,['Comedy'],79.0,19/10/1939,"1,500,000.00","9,600,000.00",2.15
Tokyo Godfathers,['Animation'],79.0,29/12/2003,-,-,1.55
Diabolique,['Drama'],79.0,29/01/1955,-,-,1.95
Roman Holiday,['Romance'],79.0,02/09/1953,"1,500,000.00","12,000,000.00",1.98
Jodorowsky's Dune,['Documentary'],79.0,30/08/2013,-,-,1.5
Winter Light,['Drama'],79.0,11/02/1963,-,-,1.33
Sing Street,['Comedy'],79.0,15/04/2016,"4,000,000.00","13,624,522.00",1.77
Man with a Movie Camera,['Documentary'],79.0,08/01/1929,-,-,1.13
The Notebook,['Romance'],79.0,25/06/2004,"29,000,000.00","115,603,229.00",2.05
The Breadwinner,['Animation'],79.0,08/09/2017,-,"312,381.00",1.57
Hearts of Darkness: A Filmmaker's Apocalypse,['Documentary'],79.0,27/11/1991,-,"1,318,449.00",1.6
Nostalgia,['Drama'],79.0,05/10/1983,-,-,2.1
Umberto D.,['Drama'],79.0,20/01/1952,-,-,1.52
It Happened One Night,['Comedy'],79.0,22/02/1934,"325,000.00","4,500,000.00",1.75
Miraculous World: Shanghai – The Legend of Ladydragon,['Animation'],79.0,04/04/2021,-,-,0.9
Kill Bill: Vol. 2,['Action'],79.0,09/09/2004,"30,000,000.00","152,159,461.00",2.27
Dancer in the Dark,['Drama'],79.0,15/09/2000,"12,800,000.00","40,031,879.00",2.35
Yi Yi,['Drama'],79.0,28/07/2017,-,-,2.88
See You Up There,['Drama'],79.0,25/10/2017,"23,000,000.00","15,100,000.00",1.88
"Miraculous: Ladybug & Cat Noir, The Movie",['Animation'],79.0,05/07/2023,"86,000,000.00","21,249,707.00",1.78
We Are the Nobles,['Comedy'],79.0,28/03/2013,"2,000,000.00","26,433,651.00",1.8
Ace in the Hole,['Drama'],79.0,29/06/1951,"1,821,052.00","1,300,000.00",1.85
El Infierno,['Drama'],79.0,03/09/2010,-,-,2.42
Two Women,['Drama'],79.0,23/12/1960,-,-,1.67
All My Life,['Romance'],79.0,04/12/2020,"25,000,000.00","2,000,000.00",1.55
The Witch: Part 1. The Subversion,['Mystery'],79.0,27/06/2018,"5,500,000.00","24,340,302.00",2.08
Sherlock: The Abominable Bride,['Crime'],79.0,05/01/2016,-,-,1.5
Regular Show: The Movie,['Animation'],79.0,01/09/2015,"3,000,000.00",-,1.17
Luck,['Animation'],79.0,30/07/2022,-,-,1.75
My Way,['Drama'],79.0,21/12/2011,"25,500,000.00","16,653,488.00",2.28
Fargo,['Crime'],79.0,03/10/1996,"7,000,000.00","60,611,975.00",1.63
Luca,['Animation'],79.0,18/06/2021,"200,000,000.00","49,750,471.00",1.58
The Internet's Own Boy: The Story of Aaron Swartz,['Documentary'],79.0,27/06/2014,-,"48,911.00",1.75
The Specials,['Comedy'],79.0,23/10/2019,-,-,1.9
Sunrise: A Song of Two Humans,['Drama'],79.0,04/11/1927,-,-,1.57
Perfect Strangers,['Comedy'],79.0,26/01/2017,-,"31,640,626.00",1.62
Ben-Hur,['Action'],79.0,26/03/1969,"15,000,000.00","164,000,000.00",3.7
Her,['Romance'],79.0,18/12/2013,"23,000,000.00","47,351,251.00",2.1
An Egg Rescue,['Animation'],79.0,12/08/2021,-,"3,606,902.00",1.48
Teen Titans Go! vs. Teen Titans,['Action'],79.0,21/07/2019,-,-,1.27
The Theory of Everything,['Drama'],79.0,26/11/2014,"15,000,000.00","123,726,688.00",2.05
Mary and Max,['Animation'],79.0,09/04/2009,"8,240,000.00","1,740,429.00",1.53
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,['Animation'],79.0,14/09/2021,-,-,1.2
Wild Tales,['Drama'],79.0,21/08/2014,"4,000,000.00","27,007,072.00",2.03
Isle of Dogs,['Adventure'],79.0,23/03/2018,"62,770,198.00","64,337,744.00",1.68
Searching for Sugar Man,['Music'],79.0,27/07/2012,"1,000,000.00","3,696,196.00",1.42
Z,['Thriller'],79.0,26/02/1969,-,"83,305.00",2.12
Stand by Me,['Crime'],79.0,08/08/1986,"8,000,000.00","52,287,414.00",1.48
Rio Bravo,['Western'],79.0,17/03/1959,-,"5,800,000.00",2.35
Blackfish,['Documentary'],79.0,19/07/2013,-,"2,063,312.00",1.38
Interstella 5555,['Animation'],79.0,26/07/2003,"4,000,000.00",-,1.1
Grand Illusion,['Drama'],79.0,15/01/1938,-,-,1.9
La luna,['Animation'],79.0,10/02/2012,-,-,0.12
A Fistful of Dollars,['Western'],79.0,12/09/1964,"200,000.00","14,500,000.00",1.65
Rififi,['Drama'],79.0,13/04/1955,"200,000.00","460,000.00",1.97
A Beautiful Mind,['Drama'],79.0,12/12/2001,"58,000,000.00","316,800,000.00",2.25
Apollo 11,['Documentary'],79.0,01/03/2019,-,-,1.55
A Bag of Marbles,['War'],79.0,18/01/2017,"21,400,000.00","10,898,998.00",1.83
Solaris,['Drama'],79.0,20/03/1972,-,-,2.78
Kiki's Delivery Service,['Animation'],79.0,29/07/1989,"6,900,000.00","4,493,017.00",1.72
Paper Moon,['Comedy'],79.0,09/05/1973,"2,500,000.00","30,900,000.00",1.7
Knives Out,['Comedy'],78.0,27/11/2019,"40,000,000.00","312,897,920.00",2.18
Coraline,['Animation'],78.0,14/05/2009,"60,000,000.00","124,600,000.00",1.67
Dances with Wolves,['Adventure'],78.0,09/11/1990,"22,000,000.00","424,208,848.00",3.02
The Boy in the Striped Pyjamas,['War'],78.0,07/11/2008,"12,500,000.00","20,416,563.00",1.57
Le Samouraï,['Crime'],78.0,25/10/1967,-,"39,481.00",1.75
A Bronx Tale,['Drama'],78.0,14/09/1993,"10,000,000.00","17,287,898.00",2.02
Indiana Jones and the Last Crusade,['Adventure'],78.0,24/05/1989,"48,000,000.00","474,171,806.00",2.12
Mulholland Dr.,['Thriller'],78.0,01/01/1999,-,-,1.47
Safety Last!,['Comedy'],78.0,01/04/1923,"121,000.00","1,500,000.00",1.23
Departures,['Drama'],78.0,13/09/2008,-,"69,932,387.00",2.17
Downfall,['Drama'],78.0,07/04/2005,"18,339,750.00","92,181,574.00",2.6
"Spring, Summer, Fall, Winter... and Spring",['Drama'],78.0,19/09/2003,-,"8,945,072.00",1.72
The Marquis of Grillo,['Comedy'],78.0,23/12/1981,-,"7,283,223.00",2.25
Joint Security Area,['War'],78.0,09/09/2000,"12,500,000.00",-,1.8
Papillon,['Crime'],78.0,16/12/1973,"12,000,000.00","53,267,000.00",2.52
The Big Lebowski,['Comedy'],78.0,08/10/1998,"15,000,000.00","47,010,480.00",1.95
No Game No Life: Zero,['Animation'],78.0,15/07/2017,-,"6,000,000.00",1.77
Belle,['Animation'],78.0,16/07/2021,-,"63,501,160.00",2.03
The Nightmare Before Christmas,['Fantasy'],78.0,29/10/1993,"24,000,000.00","75,634,409.00",1.27
Day for Night,['Comedy'],78.0,24/05/1973,"700,000.00","850,000.00",1.93
The Best Offer,['Drama'],78.0,14/06/2013,"13,500,000.00","19,255,873.00",2.18
Evangelion: 2.0 You Can (Not) Advance,['Animation'],78.0,26/06/2009,-,"41,162,041.00",1.87
Network,['Drama'],78.0,14/11/1976,"3,800,000.00","23,689,877.00",2.03
Anatomy of a Murder,['Crime'],78.0,01/07/1959,"2,000,000.00","8,000,000.00",2.68
"Love, Rosie",['Romance'],78.0,16/10/2014,-,"4,439,431.00",1.7
Warrior,['Drama'],78.0,09/09/2011,"25,000,000.00","23,308,615.00",2.33
Dog Day Afternoon,['Crime'],78.0,21/09/1975,"1,800,000.00","46,665,856.00",2.08
"Monsters, Inc.",['Animation'],78.0,11/04/2002,"115,000,000.00","579,707,738.00",1.53
A Man Called Otto,['Comedy'],78.0,30/12/2022,"50,000,000.00","108,961,677.00",2.1
Don't Be Bad,['Crime'],78.0,08/09/2015,-,-,1.67
Polisse,['Drama'],78.0,19/10/2011,-,"20,374,201.00",2.05
Carlito's Way,['Crime'],78.0,10/11/1993,"30,000,000.00","63,848,322.00",2.4
Millennium Actress,['Animation'],78.0,14/09/2002,-,"37,641.00",1.45
The Bridge on the River Kwai,['Drama'],78.0,14/12/1957,"3,000,000.00","44,908,000.00",2.68
Feast,['Animation'],78.0,07/11/2014,-,-,0.1
Mr. Nobody,['Science Fiction'],78.0,18/09/2009,"47,000,000.00","2,331,721.00",2.35
Mulholland Drive,['Thriller'],78.0,19/10/2001,"15,000,000.00","20,271,129.00",2.45
The Grapes of Wrath,['Drama'],78.0,15/03/1940,"800,000.00","1,591,000.00",2.15
Everything Everywhere All at Once,['Action'],78.0,25/03/2022,"25,000,000.00","139,200,000.00",2.33
Guy Ritchie's The Covenant,['War'],78.0,21/04/2023,"55,000,000.00","20,000,000.00",2.05
John Wick: Chapter 4,['Action'],78.0,24/03/2023,"90,000,000.00","426,978,565.00",2.83
Finding Nemo,['Animation'],78.0,11/12/2003,"94,000,000.00","940,335,536.00",1.67
Freaks,['Drama'],78.0,24/10/1933,"310,607.00",-,1.1
The Shadow in My Eye,['War'],78.0,28/10/2021,-,-,1.78
RRR,['Action'],78.0,25/03/2022,"69,000,000.00","160,000,000.00",3.12
Elite Squad: The Enemy Within,['Drama'],78.0,08/10/2010,-,"63,027,681.00",1.92
The Working Class Goes to Heaven,['Drama'],78.0,17/09/1971,-,-,1.88
L'Eclisse,['Romance'],78.0,12/04/1962,-,-,2.1
Infernal Affairs,['Drama'],78.0,12/12/2002,"125,000.00","8,708,932.00",1.68
Before Sunset,['Drama'],78.0,10/02/2004,"2,700,000.00","15,992,615.00",1.33
Logan,['Action'],78.0,03/03/2017,"97,000,000.00","619,021,436.00",2.28
The Best Years of Our Lives,['Drama'],78.0,25/12/1946,"2,100,000.00","23,650,000.00",2.85
Rosemary's Baby,['Drama'],78.0,12/06/1968,"3,200,000.00","33,395,426.00",2.3
We Bare Bears: The Movie,['Animation'],78.0,30/06/2020,-,-,1.15
Gifted Hands: The Ben Carson Story,['Drama'],78.0,07/02/2009,-,-,1.43
Bajrangi Bhaijaan,['Comedy'],78.0,17/07/2015,"13,000,000.00","150,000,000.00",2.65
Harry Potter and the Goblet of Fire,['Adventure'],78.0,24/11/2005,"150,000,000.00","895,921,036.00",2.62
Land of Mine,['War'],78.0,03/12/2015,"5,070,773.00",-,1.67
